# model_name='gemini-2.5-pro-preview-06-05', reasoning_budget=32000, tries=0, n=12, i=6
# valid_prefix_length=1535, is_valid_solution=0, first_correction=-1

<think>
**Initial Assessment and Problem Decomposition**

My primary objective is to generate a complete list of moves required to solve the Tower of Hanoi puzzle with 12 disks, presented in CSV format (`disk_id,from_peg,to_peg`). I recognize that the standard recursive algorithm is appropriate for this task. Given the initial state (all disks on peg 0) and the final state (all disks on peg 2), I'll treat peg 1 as the auxiliary peg. The number of moves needed to solve the puzzle with `n` disks is `2^n - 1`, and for `n = 12`, this yields 4095 moves.

**Algorithm Understanding and Verification**

The core of the solution is the `hanoi(n, source, destination, auxiliary)` function. I'll need to generate a complete call trace to produce all 4095 moves. To confirm the reliability of my approach, I'll trace my logic for `hanoi(3, 0, 2, 1)`. I will verify that the algorithm generates the correct sequence of moves. I've determined that the first move for a Hanoi solution for 12 disks is `1,0,1`.

**Generation of Complete List**

I'm now ready to generate the comprehensive list of 4095 moves. I will generate this list with a script:
```python
moves = []
def hanoi(n, source, destination, auxiliary):
    if n > 0:
        hanoi(n - 1, source, auxiliary, destination)
        moves.append(f"{n},{source},{destination}")
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
7,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
8,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
9,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
7,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
8,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
7,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
10,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
8,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
7,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
9,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
7,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
8,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
11,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
7,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
8,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
7,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
9,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
8,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
7,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
12,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
8,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
7,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
9,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
7,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
6,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
8,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
5,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
6,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
5,2,0
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
4,1,0
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
7,1,2
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
4,0,2
1,1,2
2,1,0
1,2,0
3,1,2
1,0,1
2,0,2
1,1,2
5,0,1
1,2,0
2,2,1
1,0,1
3,2,0
1,1,2
2,1,0
1,2,0
4,2,1
1,0,1
2,0,2
1,1,2
3,0,1
1,2,0
2,2,1
1,0,1
6,0,2
1,1,2
2,1,0
1,2,0
